id;name;domain;createdate;hs_canonical_object_id;resolved_canonical_id;is_canonical
7127403588;Suomen Fysiogeriatria Oy;fysiogeriatria.fi;2021-10-18T11:27:50.318000+00:00;;7127403588;1
7135536732;Tähtitieteellinen yhdistys Ursa ry;ursa.fi;2021-10-19T14:33:42.848000+00:00;;7135536732;1
7140789383;REALIN Oy;realin.fi;2021-10-20T07:14:08.735000+00:00;;7140789383;1
7140789654;AgileWork ;agilework.com;2021-10-20T07:20:56.689000+00:00;;7140789654;1
7140789810;Skandal Technologies;skandal.tech;2021-10-20T07:23:54.277000+00:00;;7140789810;1
7140796205;CHAOS;chaosarchitects.com;2021-10-20T07:17:55.223000+00:00;;7140796205;1
7141881661;MediMatcher;medimatcher.fi;2021-10-20T10:08:48.251000+00:00;;7141881661;1
7163205656;Business Joensuu Oy;businessjoensuu.fi;2021-10-25T06:32:12.612000+00:00;;7163205656;1
7163656823;bestser.fi;bestser.fi;2021-10-25T08:12:47.507000+00:00;;7163656823;1
7163688262;Puhdaspalvelu;puhdaspalvelu.fi;2021-10-25T08:20:06.539000+00:00;;7163688262;1
7163688481;Messukeskus;messukeskus.com;2021-10-25T08:23:51.364000+00:00;;7163688481;1
7163692621;TAKK Tampere;takk.fi;2021-10-25T08:26:10.580000+00:00;;7163692621;1
7169189912;Unico Finland Oy;unico.fi;2021-10-26T05:54:59.349000+00:00;;7169189912;1
7176348276;Toijala Works Oy;Toijalaworks.fi;2021-10-27T07:16:08.043000+00:00;;7176348276;1
7177457324;Harva Marketing;harvamarketing.fi;2021-10-27T12:54:29.485000+00:00;;7177457324;1
7184419972;Sandler Systems LLC;sandler.com;2021-10-28T10:42:34.335000+00:00;;7184419972;1
7190820959;Pirkanmaan Osuuskauppa, SOK;;2021-10-29T09:52:04.619000+00:00;;7190820959;1
7190821035;Pohjois-Karjalan Osuuskauppa, SOK;;2021-10-29T09:54:11.454000+00:00;;7190821035;1
7200381319;Greige Oy;greige.fi;2021-11-01T06:42:53.174000+00:00;;7200381319;1
7202623413;Intermedius Oy;intermedius.fi;2021-11-01T12:44:58.158000+00:00;;7202623413;1
7208464683;Altia Plc;altiacorporation.com;2021-11-02T07:12:15.732000+00:00;;7208464683;1
7223963489;Ideal-keittiöt Oy;idealkeittiot.fi;2021-11-04T06:32:01.718000+00:00;;7223963489;1
7224091470;Istekki Oy;istekki.fi;2021-11-04T07:23:43.714000+00:00;;7224091470;1
7224122807;Finnhems;finnhems.fi;2021-11-04T07:30:18.025000+00:00;;7224122807;1
7225876024;Varsinais-Suomen liitto / Egentliga Finlands förbund;varsinais-suomi.fi;2021-11-04T15:05:00.886000+00:00;;7225876024;1
7231608353;Dictum Studios;dictum.fi;2021-11-05T10:24:54.730000+00:00;;7231608353;1
7245077060;Kariplast;kariplast.fi;2021-11-08T12:20:34.527000+00:00;;7245077060;1
7253686531;MPY;mpy.fi;2021-11-09T14:53:22.119000+00:00;;7253686531;1
7259537225;Gisica;gisica.com;2021-11-10T08:01:40.218000+00:00;;7259537225;1
7269454262;Kalevala Koru;kalevala.fi;2021-11-11T07:10:53.695000+00:00;;7269454262;1
7270536448;Hankkija;hankkija.fi;2021-11-11T13:08:06.030000+00:00;;7270536448;1
7309960466;LUMENE Oy;lumene.com;2021-11-17T12:16:56.206000+00:00;;7309960466;1
7309997741;Empower;empower.fi;2021-11-17T12:19:06.016000+00:00;;7309997741;1
7309997749;Hytest;hytest.fi;2021-11-17T12:19:15.816000+00:00;;7309997749;1
7310042919;NICEMAKERS;nicemakers.com;2021-11-17T12:13:31.381000+00:00;;7310042919;1
7310043143;Lapland Hotels;laplandhotels.com;2021-11-17T12:18:07.060000+00:00;;7310043143;1
7310067776;Insinööriliitto;ilry.fi;2021-11-17T12:20:08.972000+00:00;;7310067776;1
7311976059;Fida secondhand;fida.fi;2021-11-17T16:50:28.530000+00:00;;7311976059;1
7315119743;Halva;halva.fi;2021-11-18T07:04:00.973000+00:00;;7315119743;1
7316728631;Helsingin tapahtumasäätiö / Events Helsinki;eventshelsinki.fi;2021-11-18T12:22:17.546000+00:00;;7316728631;1
7336789334;Eezy;eezy.fi;2021-11-22T08:27:21.490000+00:00;;7336789334;1
7336827672;LVI-WaBeK Oy;lvi-wabek.fi;2021-11-22T08:38:25.255000+00:00;;7336827672;1
7358726291;Sedu;sedu.fi;2021-11-25T08:16:56.944000+00:00;;7358726291;1
7443424090;HeadPower Oy;headpower.fi;2021-12-09T11:11:11.040000+00:00;;7443424090;1
7450984853;Profinder;profinder.fi;2021-12-10T06:54:09.878000+00:00;;7450984853;1
7479564608;Natural History Museum;nhm.ac.uk;2021-12-14T16:10:27.420000+00:00;;7479564608;1
7520901136;Helvar;helvar.com;2021-12-21T14:07:45.495000+00:00;;7520901136;1
7541092739;Sanoma Markkinointi Routa;markkinointirouta.fi;2021-12-23T08:20:13.478000+00:00;;7541092739;1
7566477592;Ooppera & Baletti - Suomen kansallisooppera;oopperabaletti.fi;2021-12-30T08:11:52.786000+00:00;;7566477592;1
7580972959;University of Helsinki;helsinki.fi;2022-01-03T13:12:12.764000+00:00;;7580972959;1
7587643320;Suomen Akatemia;aka.fi;2022-01-04T13:39:19.345000+00:00;;7587643320;1
7594196547;Palveluskoiraliitto;palveluskoiraliitto.fi;2022-01-05T12:43:32.992000+00:00;;7594196547;1
7638530979;Trust Luova arvotoimisto;trust.fi;2022-01-10T14:18:04.302000+00:00;;7638530979;1
7645186087;Teknoware Oy;teknoware.com;2022-01-11T07:39:23.874000+00:00;;7645186087;1
7646566312;Turku University Of Applied Sciences;turkuamk.fi;2022-01-11T13:50:00.992000+00:00;;7646566312;1
7654890270;Moonsoft Oy;moonsoft.fi;2022-01-12T10:25:28.399000+00:00;;7654890270;1
7654983682;Naturpolis Oy;naturpolis.fi;2022-01-12T10:02:04.317000+00:00;;7654983682;1
7657840264;Beamex Oy;beamex.com;2022-01-12T14:07:43.496000+00:00;;7657840264;1
7664255344;JAMK University Of Applied Sciences;jamk.fi;2022-01-13T07:33:11.193000+00:00;;7664255344;1
7670492211;SOS-Lapsikylä;sos-lapsikyla.fi;2022-01-14T07:09:02.478000+00:00;;7670492211;1
7670492234;Kontiolahti;kontiolahti.fi;2022-01-14T07:09:55.816000+00:00;;7670492234;1
7670492252;Enerke Oy;enerke.fi;2022-01-14T07:10:40.418000+00:00;;7670492252;1
7670492268;Elvera Oy;elvera.fi;2022-01-14T07:11:35.469000+00:00;;7670492268;1
7670492302;Joensuun Dieselhuolto Oy;jdh.fi;2022-01-14T07:14:19.998000+00:00;;7670492302;1
7670492442;VRJ Group Oy;vrj.fi;2022-01-14T07:19:27.805000+00:00;;7670492442;1
7670506292;Semex;semex.com;2022-01-14T07:47:06.380000+00:00;;7670506292;1
7671803769;Drum Communications Inc;drum.fi;2022-01-14T07:03:42.191000+00:00;;7671803769;1
7671827204;Kakkonen-Yhtiöt Oy;k2.fi;2022-01-14T07:12:27.909000+00:00;;7671827204;1
7671827258;Marskidata;marskidata.fi;2022-01-14T07:15:28.984000+00:00;;7671827258;1
7671827625;Reilu kauppa;reilukauppa.fi;2022-01-14T07:33:53.736000+00:00;;7671827625;1
7671827638;Scandic Container;scandiccontainer.fi;2022-01-14T07:34:34.453000+00:00;;7671827638;1
7672429592;Subway;subway.fi;2022-01-14T09:13:04.956000+00:00;;7672429592;1
7689189247;Nylund;nylund.fi;2022-01-18T07:37:57.616000+00:00;;7689189247;1
7689866544;Tampereen kaupunki;tampere.fi;2022-01-18T10:12:22.436000+00:00;;7689866544;1
7691036167;Kotivara Oy;kotivara.fi;2022-01-18T13:53:48.176000+00:00;;7691036167;1
7697204753;Tietokeskus;tietokeskus.fi;2022-01-19T07:46:36.797000+00:00;;7697204753;1
7707276546;Laitilan Wirvoitusjuomatehdas;laitilan.com;2022-01-20T09:12:33.093000+00:00;;7707276546;1
